record_id,year,state,state_code,district,latitude,longitude,event_date,event_month,event_day_of_year,event_time_raw,event_type,rainfall_24h_mm,casualty,has_casualty,road_affected,road_affected_flag,source,source_code,landslide_target,slide_no,slide_id,landslide_name,location,elevation,slope,aspect,dem_source
LS-0001,2021,Nagaland,5,Dimapur,25.793499,93.805655,2021-02-02,2.0,33.0,,3.0,0.0,0,0,,0,Newspaper,0,1,37,Newspaper/2021/Nagaland/37,TL Park landslide,Near TL Park between Chumoukedima and Nukioladong,220.19593811035156,17.586540514558234,219.30513329475164,PART2
LS-0002,2021,Nagaland,5,Dimapur,25.772599,93.806,2021-02-17,2.0,48.0,,3.0,0.0,0,0,,0,Online Media,1,1,38,Online Media/2021/Nagaland/38,TL Park 2 landslide,Near TL Park between Chumoukedima and Nukioladong,269.23065185546875,37.287671198543876,15.016999639224707,PART2
LS-0003,2021,Meghalaya,3,East Khasi Hills,25.585545,91.86466,2021-02-24,2.0,55.0,,1.0,0.276384,0,0,,0,Newspaper,0,1,18,Newspaper/2021/Meghalaya/18,Sonapani_landslide,Sonapani Hydro-Electric Power Project,1294.05810546875,38.23284849684716,205.3447888081092,PART2
LS-0004,2021,Sikkim,6,East Sikkim,27.376583,88.728341,2021-03-25,3.0,84.0,,2.0,3.300459,0,0,,0,Online Media,1,1,61,Online Media/2021/Sikkim/61,Kyonsola_waterfall_landslide,Kyonsola waterfall on way to Tsongmo.,3342.55615234375,9.097040557164046,305.53311553560854,PART2
LS-0005,2021,Arunachal Pradesh,0,West Kameng,27.186597,92.303984,2021-04-28,4.0,118.0,,2.0,0.538725,0,0,,0,Newspaper,0,1,14,Newspaper/2021/Arunachal Pradesh/14,Membachur_Garbow_landslide,between Membachur and Garbow villages,2063.822998046875,36.785969232958756,82.92621015570552,PART2
LS-0006,2021,Nagaland,5,Dimapur,25.766187,93.940678,2021-05-10,5.0,130.0,07:00,1.0,2.610091,0,0,,0,Newspaper,0,1,45,Newspaper/2021/Nagaland/45,Piphema_landslide,Piphema,804.1127319335938,35.689003159277625,353.19526230657874,PART2
LS-0007,2021,Arunachal Pradesh,0,West Kameng,27.208119,92.479767,2021-05-25,5.0,145.0,,3.0,0.010557,0,0,BCT Road,1,Newspaper,0,1,10,Newspaper/2021/Arunachal Pradesh/10,Nechipu_Saddle_landslide,80.3-km between Nechiphu and Saddle,1310.51025390625,28.03227628663524,341.7516821195676,PART2
LS-0008,2021,Arunachal Pradesh,0,Papum Pare,27.095983,93.622322,2021-05-31,5.0,151.0,,3.0,69.527662,0,0,NH 415,1,Online Media,1,1,9,Online Media/2021/Arunachal Pradesh/9,IG Park Landslide,"Near Indra Gandhi Park entry gate, Itanagar",355.9114685058594,17.232580170396435,155.33408898846767,PART2
LS-0009,2021,Sikkim,6,East Sikkim,27.326815,88.61023,2021-06-01,6.0,152.0,,1.0,50.510061,0,0,,0,Newspaper,0,1,67,Newspaper/2021/Sikkim/67,Seesa Golai Landslide,Seesa Golai,1591.645263671875,25.480757576297734,239.33368230287059,PART2
LS-0010,2021,Arunachal Pradesh,0,West Kameng,27.326763,92.43801,2021-06-05,6.0,156.0,9:30,2.0,0.0,2,1,BCT Road,1,Newspaper,0,1,8,Newspaper/2021/Arunachal Pradesh/8,BCT Road Landslide,"77.200 km in Bhalukpong-Charduar-Tawang (BCT) road near Saddle, Nechiphu",1272.074462890625,7.708982255727231,83.36078793835992,PART2
