,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDMI,NDWI,NBR,hls_image_count,hls_valid_image_count
B2,1.0,0.9992971489192934,0.9979114302638048,0.9951013022217478,0.9799187740248075,0.9665420540970007,0.9650742331366201,0.9571695862562088,0.6468071450622097,0.7381384607345326,-0.8470455923503818,0.4615742722139848,0.8648710477458781,0.07730433499002723,-0.05298395918526966,0.048433780691485094
B3,0.9992971489192934,1.0,0.9992702111938317,0.9975773692776707,0.9843755973857828,0.9716827623717255,0.9700074657727956,0.9628079756080982,0.6477060939717104,0.7390140657734037,-0.8426253076569808,0.4628699331386703,0.8593926406251261,0.07838787803791693,-0.04972871774712059,0.048683969438262316
B4,0.9979114302638048,0.9992702111938317,1.0,0.9983026005423208,0.9829600905291014,0.9691856949089878,0.9673278981142992,0.9600995642784672,0.651179561703378,0.7469048017687019,-0.8498622903113657,0.45272045149909257,0.8636284684110448,0.06058859815298954,-0.046240797351451264,0.04866133671157428
B5,0.9951013022217478,0.9975773692776707,0.9983026005423208,1.0,0.9890565024851293,0.9753140910887588,0.9759927833874259,0.9666785431982384,0.6380265078289307,0.7372759269551823,-0.8314525667616949,0.47594468590931255,0.8455156861937329,0.08361383402830652,-0.033195116602132715,0.05211702085583891
B6,0.9799187740248075,0.9843755973857828,0.9829600905291014,0.9890565024851293,1.0,0.996236688040988,0.9960809188954584,0.9924447295698079,0.6419363920967859,0.7205287181261346,-0.7699431263255622,0.5134225258393894,0.7883228314402907,0.15492698080075165,-0.023191370354949992,0.0569209966051278
B7,0.9665420540970007,0.9716827623717255,0.9691856949089878,0.9753140910887588,0.996236688040988,1.0,0.9965659904831953,0.9990921519892768,0.6522321298699799,0.7147919033760937,-0.7431622099940386,0.5143527297450239,0.7633847540944096,0.1779545712833252,-0.03774689275194968,0.05651775296022979
B8,0.9650742331366201,0.9700074657727956,0.9673278981142992,0.9759927833874259,0.9960809188954584,0.9965659904831953,1.0,0.9944945129005253,0.6309578865347367,0.7023589626188311,-0.7325913238144401,0.5361988058104804,0.7530435995980378,0.19331927856569692,-0.017835159279746233,0.06204673411979577
B8A,0.9571695862562088,0.9628079756080982,0.9600995642784672,0.9666785431982384,0.9924447295698079,0.9990921519892768,0.9944945129005253,1.0,0.6609088450437276,0.7146971407251727,-0.7266513865608917,0.5076822134286497,0.7472681958610736,0.18441551211507204,-0.03998920777484843,0.06081373542181317
B11,0.6468071450622097,0.6477060939717104,0.651179561703378,0.6380265078289307,0.6419363920967859,0.6522321298699799,0.6309578865347367,0.6609088450437276,1.0,0.9349332019434572,-0.6454132200291023,-0.24116996352019068,0.6483357396791228,-0.3955913193360768,-0.02752795990192521,0.035517961221544075
B12,0.7381384607345326,0.7390140657734037,0.7469048017687019,0.7372759269551823,0.7205287181261346,0.7147919033760937,0.7023589626188311,0.7146971407251727,0.9349332019434572,1.0,-0.7859150489918192,-0.11660854665516952,0.7794884030041566,-0.4607219858141072,-0.01961043212293935,0.04092194344236863
NDVI,-0.8470455923503818,-0.8426253076569808,-0.8498622903113657,-0.8314525667616949,-0.7699431263255622,-0.7431622099940386,-0.7325913238144401,-0.7266513865608917,-0.6454132200291023,-0.7859150489918192,1.0,-0.1221181922671457,-0.9950127615406392,0.357600404040849,0.09622588278173336,-0.007820720815377607
NDMI,0.4615742722139848,0.4628699331386703,0.45272045149909257,0.47594468590931255,0.5134225258393894,0.5143527297450239,0.5361988058104804,0.5076822134286497,-0.24116996352019068,-0.11660854665516952,-0.1221181922671457,1.0,0.15306305100635695,0.8061277966104002,-0.00746665421309987,0.038518174616984376
NDWI,0.8648710477458781,0.8593926406251261,0.8636284684110448,0.8455156861937329,0.7883228314402907,0.7633847540944096,0.7530435995980378,0.7472681958610736,0.6483357396791228,0.7794884030041566,-0.9950127615406392,0.15306305100635695,1.0,-0.30991603910504184,-0.09325036075585115,0.010408210182036515
NBR,0.07730433499002723,0.07838787803791693,0.06058859815298954,0.08361383402830652,0.15492698080075165,0.1779545712833252,0.19331927856569692,0.18441551211507204,-0.3955913193360768,-0.4607219858141072,0.357600404040849,0.8061277966104002,-0.30991603910504184,1.0,0.021600836234150905,0.039961741181458274
hls_image_count,-0.05298395918526966,-0.04972871774712059,-0.046240797351451264,-0.033195116602132715,-0.023191370354949992,-0.03774689275194968,-0.017835159279746233,-0.03998920777484843,-0.02752795990192521,-0.01961043212293935,0.09622588278173336,-0.00746665421309987,-0.09325036075585115,0.021600836234150905,1.0,0.06694285334959259
hls_valid_image_count,0.048433780691485094,0.048683969438262316,0.04866133671157428,0.05211702085583891,0.0569209966051278,0.05651775296022979,0.06204673411979577,0.06081373542181317,0.035517961221544075,0.04092194344236863,-0.007820720815377607,0.038518174616984376,0.010408210182036515,0.039961741181458274,0.06694285334959259,1.0
