feature_set,n_features,model,accuracy,precision,recall,f1,roc_auc
indices_reduced_spectral,9,random_forest,0.625,0.45161290322580644,0.5833333333333334,0.509090909090909,0.6796875
full_16,16,svm_rbf,0.5833333333333334,0.43478260869565216,0.8333333333333334,0.5714285714285714,0.6597222222222222
indices_only,4,random_forest,0.6111111111111112,0.4523809523809524,0.7916666666666666,0.5757575757575758,0.642795138888889
reduced_spectral,5,random_forest,0.5833333333333334,0.39285714285714285,0.4583333333333333,0.4230769230769231,0.6202256944444445
practical,11,svm_rbf,0.5277777777777778,0.391304347826087,0.75,0.5142857142857142,0.6106770833333334
practical,11,random_forest,0.5694444444444444,0.3793103448275862,0.4583333333333333,0.41509433962264153,0.5963541666666667
indices_only,4,svm_rbf,0.5277777777777778,0.4074074074074074,0.9166666666666666,0.5641025641025641,0.5685763888888888
full_16,16,random_forest,0.5,0.3125,0.4166666666666667,0.35714285714285715,0.5668402777777778
reduced_spectral,5,svm_rbf,0.5,0.3695652173913043,0.7083333333333334,0.4857142857142857,0.5616319444444444
indices_reduced_spectral,9,svm_rbf,0.5138888888888888,0.37777777777777777,0.7083333333333334,0.4927536231884058,0.545138888888889
indices_only,4,logistic_regression,0.5277777777777778,0.35294117647058826,0.5,0.41379310344827586,0.4852430555555555
reduced_spectral,5,logistic_regression,0.4722222222222222,0.3055555555555556,0.4583333333333333,0.36666666666666664,0.4461805555555555
full_16,16,logistic_regression,0.4722222222222222,0.28125,0.375,0.32142857142857145,0.4366319444444444
practical,11,logistic_regression,0.4722222222222222,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.4270833333333333
indices_reduced_spectral,9,logistic_regression,0.4444444444444444,0.21428571428571427,0.25,0.23076923076923078,0.41753472222222227
