feature_1,feature_2,correlation
B2,B3,0.9992971489192934
B3,B4,0.9992702111938317
B7,B8A,0.9990921519892768
B4,B5,0.9983026005423208
B2,B4,0.9979114302638048
B3,B5,0.9975773692776707
B7,B8,0.9965659904831953
B6,B7,0.996236688040988
B6,B8,0.9960809188954584
B2,B5,0.9951013022217478
NDVI,NDWI,-0.9950127615406392
B8,B8A,0.9944945129005253
B6,B8A,0.9924447295698079
B5,B6,0.9890565024851293
B3,B6,0.9843755973857828
B4,B6,0.9829600905291014
B2,B6,0.9799187740248075
B5,B8,0.9759927833874259
B5,B7,0.9753140910887588
B3,B7,0.9716827623717255
B3,B8,0.9700074657727956
B4,B7,0.9691856949089878
B4,B8,0.9673278981142992
B5,B8A,0.9666785431982384
B2,B7,0.9665420540970007
B2,B8,0.9650742331366201
B3,B8A,0.9628079756080982
B4,B8A,0.9600995642784672
B2,B8A,0.9571695862562088
B11,B12,0.9349332019434572
