feature,importance,importance_percent,cumulative_importance
NBR,0.07991330987941657,7.991330987941657,0.07991330987941657
NDVI,0.07655163819130759,7.655163819130759,0.15646494807072414
hls_image_count,0.07483570463933797,7.483570463933797,0.23130065271006212
NDMI,0.06837085488422616,6.837085488422616,0.2996715075942883
B12,0.06726317274128474,6.726317274128474,0.366934680335573
NDWI,0.06688231021025268,6.688231021025268,0.4338169905458257
B8A,0.060884524755177805,6.08845247551778,0.4947015153010035
hls_valid_image_count,0.060616250371333,6.0616250371333,0.5553177656723365
B11,0.05869398495415,5.869398495415,0.6140117506264865
B6,0.058215664002844655,5.821566400284466,0.6722274146293311
B8,0.056883939389084405,5.68839393890844,0.7291113540184155
B5,0.056367784436981386,5.636778443698138,0.785479138455397
B7,0.055316848604843115,5.531684860484312,0.8407959870602401
B2,0.055060466568478024,5.506046656847802,0.8958564536287181
B4,0.05363575232693147,5.363575232693147,0.9494922059556496
B3,0.050507794044350414,5.050779404435041,1.0
