feature,importance_mean,importance_std
NDVI,0.022159376571141327,0.010979557923970578
hls_image_count,0.02148064353946711,0.012229634520530773
B12,0.017804172951231823,0.012319192015230102
NDWI,0.012537707390648611,0.00968570560392949
B2,0.011739567621920613,0.007158767948692673
NDMI,0.009609100050276561,0.009291573831475448
B5,0.008107088989441976,0.007873233338609942
NBR,0.004059829059829101,0.022205872072532877
B8A,0.0032491201608849107,0.009752991058527566
B6,0.0029097536450477892,0.009381954861443546
hls_valid_image_count,0.0015082956259427312,0.013238641881360662
B11,0.0010495223730518182,0.0066646649975903105
B3,-6.284565108035286e-06,0.0052045496081240955
B7,-0.005756661639014519,0.008785866974971862
B4,-0.006045751633986892,0.0065096567752687354
B8,-0.01636500754147813,0.007335904771612073
