configuration,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
4,500,15.0,2,1,sqrt,0.6388888888888888,0.46875,0.625,0.5357142857142857,0.6909722222222222,31,17,9,15
2,500,,2,1,sqrt,0.6388888888888888,0.4666666666666667,0.5833333333333334,0.5185185185185185,0.6870659722222222,32,16,10,14
5,500,20.0,2,1,sqrt,0.6527777777777778,0.4827586206896552,0.5833333333333334,0.5283018867924528,0.6857638888888888,33,15,10,14
6,500,,5,1,sqrt,0.5972222222222222,0.41379310344827586,0.5,0.4528301886792453,0.6788194444444444,31,17,12,12
16,500,,2,1,0.5,0.6111111111111112,0.4375,0.5833333333333334,0.5,0.6714409722222222,30,18,10,14
1,300,,2,1,sqrt,0.625,0.45161290322580644,0.5833333333333334,0.509090909090909,0.6666666666666666,31,17,10,14
13,500,,10,4,sqrt,0.6111111111111112,0.43333333333333335,0.5416666666666666,0.48148148148148145,0.6640625,31,17,11,13
17,500,,5,2,0.5,0.6111111111111112,0.42857142857142855,0.5,0.46153846153846156,0.6588541666666666,32,16,12,12
18,500,15.0,5,2,0.5,0.5972222222222222,0.41935483870967744,0.5416666666666666,0.4727272727272727,0.6553819444444444,30,18,11,13
3,500,10.0,2,1,sqrt,0.5972222222222222,0.41379310344827586,0.5,0.4528301886792453,0.6510416666666667,31,17,12,12
15,500,20.0,5,2,sqrt,0.5972222222222222,0.41379310344827586,0.5,0.4528301886792453,0.6501736111111112,31,17,12,12
8,500,,2,2,sqrt,0.6111111111111112,0.43333333333333335,0.5416666666666666,0.48148148148148145,0.650173611111111,31,17,11,13
11,500,,10,2,sqrt,0.625,0.4482758620689655,0.5416666666666666,0.49056603773584906,0.6484375,32,16,11,13
10,500,,5,2,sqrt,0.6111111111111112,0.42857142857142855,0.5,0.46153846153846156,0.6458333333333333,32,16,12,12
14,500,15.0,5,2,sqrt,0.6111111111111112,0.42857142857142855,0.5,0.46153846153846156,0.6432291666666666,32,16,12,12
7,500,,10,1,sqrt,0.625,0.4482758620689655,0.5416666666666666,0.49056603773584906,0.6414930555555556,32,16,11,13
9,500,,2,4,sqrt,0.5972222222222222,0.41379310344827586,0.5,0.4528301886792453,0.640625,31,17,12,12
12,500,,5,4,sqrt,0.5972222222222222,0.41379310344827586,0.5,0.4528301886792453,0.640625,31,17,12,12
