configuration,C,gamma,kernel,class_weight,accuracy,precision,recall,f1,roc_auc
25,20.0,scale,rbf,,0.5,0.36363636363636365,0.6666666666666666,0.47058823529411764,0.5859375
21,10.0,scale,rbf,,0.5416666666666666,0.4,0.75,0.5217391304347826,0.5833333333333333
41,10.0,scale,rbf,balanced,0.5277777777777778,0.38636363636363635,0.7083333333333334,0.5,0.5785590277777779
28,20.0,0.1,rbf,,0.5277777777777778,0.38636363636363635,0.7083333333333334,0.5,0.5746527777777778
24,10.0,0.1,rbf,,0.5277777777777778,0.391304347826087,0.75,0.5142857142857142,0.56640625
43,10.0,0.1,rbf,balanced,0.5138888888888888,0.37777777777777777,0.7083333333333334,0.4927536231884058,0.5651041666666667
38,5.0,scale,rbf,balanced,0.5277777777777778,0.38095238095238093,0.6666666666666666,0.48484848484848486,0.5633680555555556
17,5.0,scale,rbf,,0.5277777777777778,0.38095238095238093,0.6666666666666666,0.48484848484848486,0.5633680555555556
3,0.1,0.03,rbf,,0.4305555555555556,0.3111111111111111,0.5833333333333334,0.4057971014492754,0.5590277777777778
2,0.1,0.01,rbf,,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5559895833333334
20,5.0,0.1,rbf,,0.5277777777777778,0.38095238095238093,0.6666666666666666,0.48484848484848486,0.5529513888888888
40,5.0,0.1,rbf,balanced,0.5138888888888888,0.36585365853658536,0.625,0.46153846153846156,0.5529513888888888
34,1.0,0.1,rbf,balanced,0.5138888888888888,0.37777777777777777,0.7083333333333334,0.4927536231884058,0.5520833333333333
12,1.0,0.1,rbf,,0.5138888888888888,0.37777777777777777,0.7083333333333334,0.4927536231884058,0.5494791666666666
29,0.5,scale,rbf,balanced,0.5,0.35714285714285715,0.625,0.45454545454545453,0.5477430555555556
1,0.1,scale,rbf,,0.4861111111111111,0.3333333333333333,0.5416666666666666,0.4126984126984127,0.5473090277777778
32,1.0,scale,rbf,balanced,0.5277777777777778,0.38636363636363635,0.7083333333333334,0.5,0.5460069444444444
9,1.0,scale,rbf,,0.5138888888888888,0.37777777777777777,0.7083333333333334,0.4927536231884058,0.545138888888889
16,2.0,0.1,rbf,,0.5138888888888888,0.37209302325581395,0.6666666666666666,0.47761194029850745,0.5447048611111112
37,2.0,0.1,rbf,balanced,0.5138888888888888,0.37209302325581395,0.6666666666666666,0.47761194029850745,0.5447048611111112
4,0.1,0.1,rbf,,0.4861111111111111,0.32432432432432434,0.5,0.39344262295081966,0.5442708333333333
5,0.5,scale,rbf,,0.5138888888888888,0.37209302325581395,0.6666666666666666,0.47761194029850745,0.5442708333333333
8,0.5,0.1,rbf,,0.5138888888888888,0.36585365853658536,0.625,0.46153846153846156,0.5438368055555556
13,2.0,scale,rbf,,0.5138888888888888,0.37209302325581395,0.6666666666666666,0.47761194029850745,0.5407986111111112
35,2.0,scale,rbf,balanced,0.5138888888888888,0.37209302325581395,0.6666666666666666,0.47761194029850745,0.5390625
31,0.5,0.1,rbf,balanced,0.4861111111111111,0.3333333333333333,0.5416666666666666,0.4126984126984127,0.5377604166666666
27,20.0,0.03,rbf,,0.4861111111111111,0.3488372093023256,0.625,0.44776119402985076,0.4796006944444444
15,2.0,0.03,rbf,,0.4722222222222222,0.3157894736842105,0.5,0.3870967741935484,0.4722222222222222
36,2.0,0.03,rbf,balanced,0.4861111111111111,0.3333333333333333,0.5416666666666666,0.4126984126984127,0.4696180555555556
39,5.0,0.03,rbf,balanced,0.4861111111111111,0.34146341463414637,0.5833333333333334,0.4307692307692308,0.46354166666666663
19,5.0,0.03,rbf,,0.4722222222222222,0.3333333333333333,0.5833333333333334,0.42424242424242425,0.46354166666666663
33,1.0,0.03,rbf,balanced,0.4722222222222222,0.3055555555555556,0.4583333333333333,0.36666666666666664,0.4626736111111111
11,1.0,0.03,rbf,,0.4861111111111111,0.32432432432432434,0.5,0.39344262295081966,0.4618055555555555
42,10.0,0.03,rbf,balanced,0.4861111111111111,0.3488372093023256,0.625,0.44776119402985076,0.4574652777777778
23,10.0,0.03,rbf,,0.4861111111111111,0.3488372093023256,0.625,0.44776119402985076,0.45659722222222227
30,0.5,0.03,rbf,balanced,0.4861111111111111,0.32432432432432434,0.5,0.39344262295081966,0.4565972222222222
7,0.5,0.03,rbf,,0.4861111111111111,0.32432432432432434,0.5,0.39344262295081966,0.45138888888888884
14,2.0,0.01,rbf,,0.4861111111111111,0.32432432432432434,0.5,0.39344262295081966,0.4505208333333333
18,5.0,0.01,rbf,,0.4583333333333333,0.2857142857142857,0.4166666666666667,0.3389830508474576,0.44791666666666663
22,10.0,0.01,rbf,,0.4583333333333333,0.2972972972972973,0.4583333333333333,0.36065573770491804,0.4461805555555555
26,20.0,0.01,rbf,,0.4722222222222222,0.325,0.5416666666666666,0.40625,0.4444444444444444
6,0.5,0.01,rbf,,0.5,0.3235294117647059,0.4583333333333333,0.3793103448275862,0.4396701388888889
10,1.0,0.01,rbf,,0.5277777777777778,0.35294117647058826,0.5,0.41379310344827586,0.4375
