system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,distance_to_landslide_m,exclusion_distance_m,hls_date,hls_days_before_reference,hls_image_count,hls_valid,hls_valid_image_count,landslide_target,longitude_latitude,random,record_id,reference_date,sample_type,sampling_seed,.geo
0000000000000000011d,0.373286888404401,0.267517208335446,0.22951718805455557,0.271608386148152,0.269421766465548,0.3001836688130609,0.4101929270394973,0.4488740708817116,0.42275407899406797,0.46795859149216645,0.22489255095513877,0.062141513584822214,0.22152219487911318,-0.2176754943327159,16814.53562923489,1000,2024-06-11,3.822326388888889,376,1,20,0,"{""type"":""Point"",""coordinates"":[94.08408030281065,24.75278208475181]}",0.0947650965721511,BG-0286,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[94.08407848279984,24.75278005728197]}"
0000000000000000011e,0.21256365342667266,0.11260906508395471,0.04459395322883376,0.074893248110384,0.05887156698625271,0.10765199107188145,0.2866983107593975,0.34855549130015734,0.34870011667427553,0.3785025313245068,0.511784852602511,0.24255344901937556,0.7111106127024879,-0.6463908345285003,24130.4006385273,1000,2024-06-11,3.822326388888889,376,1,20,0,"{""type"":""Point"",""coordinates"":[93.08379691809746,23.62091062795143]}",0.0948120386664803,BG-0287,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[93.08379546527598,23.620909274192943]}"
00000000000000000124,0.4919637073071856,0.3916584169453736,0.8434270244248507,0.8454780987128814,0.8156768572007703,0.8220098763555285,0.8468568257829128,0.853175863991081,0.8305703253268467,0.84987720685112,0.35910782752948595,0.2560286613912486,0.009046920950965116,0.008894595867405139,22414.690729474867,1000,2024-06-14,0.8144560185185186,364,1,8,0,"{""type"":""Point"",""coordinates"":[92.47670368697396,26.86377849176678]}",0.0960748911291806,BG-0293,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[92.47670371595572,26.86377796701124]}"
00000000000000000125,0.4872726226099303,0.4518180757721763,0.5276053709996451,0.5351096921438354,0.5302860729319875,0.5457948673733329,0.5898346046558804,0.6021918801034645,0.5784359892478574,0.6096301009281331,0.12289969802081682,0.08554248846596757,0.04342830178845994,-0.03890841465064412,8045.112848371829,1000,2024-06-11,3.822326388888889,375,1,19,0,"{""type"":""Point"",""coordinates"":[92.44215011291081,25.08145796430025]}",0.0964808582881793,BG-0294,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[92.44215154685894,25.081456655143285]}"
00000000000000000129,0.18544030599321135,0.2011187598155934,0.5917225138051571,0.6002311515274329,0.5710567252647045,0.5871091190029888,0.6140581944374082,0.6209217234915649,0.6276511474745424,0.6179202644510866,0.5146571851934153,0.54386359565747,0.04721285602346987,-0.022331127315212987,13611.465493794083,1000,2024-06-09,5.814479166666667,366,1,10,0,"{""type"":""Point"",""coordinates"":[92.67068350100098,27.36344306031066]}",0.0977912193104278,BG-0298,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[92.67068463055124,27.363442540185165]}"
0000000000000000012c,0.24739370976734754,0.17642419281261087,0.05656429114501492,0.09135838106340918,0.08072063459881391,0.12549442951999595,0.2789694916113335,0.3314541183030058,0.3248089766333822,0.3554673931775559,0.29603943407173,0.1352934348368623,0.6019001702314888,-0.5609536434139533,10119.221792413424,1000,2024-06-11,3.822326388888889,377,1,21,0,"{""type"":""Point"",""coordinates"":[92.99699605699108,25.292591940079863]}",0.0988463641653449,BG-0301,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[92.99699522920785,25.292591410959346]}"
00000000000000000130,0.6093788365960036,0.43213356831321637,0.6809369307231968,0.7010065878892383,0.6802728065726744,0.646980500050715,0.7166041941373362,0.7718577391216146,0.6989606400243432,0.793858291916016,0.2359017221945636,0.0684698467249066,0.013549434649933472,0.0014614255420423218,12360.488081807822,1000,2024-06-04,10.814456018518518,366,1,10,0,"{""type"":""Point"",""coordinates"":[91.64472461242202,23.320608008406065]}",0.1001061120657985,BG-0305,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[91.64472341691594,23.32060927565832]}"
00000000000000000134,0.17190256358293643,0.07412664910325259,0.03334381396291416,0.06323336710912959,0.040761880636336005,0.08684407741412502,0.2728814672205898,0.33952458202452107,0.32735605937784995,0.36831178437531653,0.6307355333748244,0.31136867476222524,0.7785390158666802,-0.6762156739476536,20371.74614181856,1000,2024-06-11,3.822326388888889,376,1,20,0,"{""type"":""Point"",""coordinates"":[94.05257675386807,25.91968423942807]}",0.1009979585032496,BG-0309,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[94.05257542108468,25.919684869912512]}"
00000000000000000137,0.20044131445904947,0.08480399898887762,0.02205074823053589,0.05235574317492414,0.029485338725985837,0.08118501011122341,0.272427628918099,0.3352952275025277,0.32886095551061667,0.36803264408493414,0.589987026619238,0.24262061271516333,0.835436619827201,-0.7253229286363896,19485.6559326989,1000,2024-05-25,20.81457175925926,370,1,14,0,"{""type"":""Point"",""coordinates"":[90.51610384028963,25.3907947225799]}",0.1016725716725922,BG-0312,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[90.51610584734068,25.390796132745372]}"
0000000000000000013c,0.36552175477723153,0.26653392974808654,0.22192331086218245,0.2563665568452531,0.25745650058289826,0.27971495260783613,0.40483749809924463,0.4544841147549294,0.43708398803791365,0.4790989507831112,0.24239015803701938,0.08916237380719093,0.25862781277404256,-0.2606060843504103,19729.207527494826,1000,2024-06-11,3.822326388888889,376,1,20,0,"{""type"":""Point"",""coordinates"":[91.9237929927509,23.510730700021835]}",0.1044758486700033,BG-0317,2024-06-15,background,2026,"{""type"":""Point"",""coordinates"":[91.92379223275705,23.51073110107051]}"
