system:index,distance_to_landslide_m,exclusion_distance_m,landslide_target,random,sample_type,sampling_seed,.geo
2009,17937.75286923133,1000,0,4.234378458233268E-4,background,2026,"{""type"":""Point"",""coordinates"":[94.81985024377579,28.577311606838983]}"
774,14170.77734437043,1000,0,5.886379839779021E-4,background,2026,"{""type"":""Point"",""coordinates"":[94.03005730155449,27.67226094341022]}"
1022,9348.672302650066,1000,0,0.0011697660211553718,background,2026,"{""type"":""Point"",""coordinates"":[94.78903049303591,27.696639698705223]}"
930,5666.70422839416,1000,0,0.001364565172081389,background,2026,"{""type"":""Point"",""coordinates"":[90.88523542806686,25.186468407827366]}"
333,4050.1822982753683,1000,0,0.0015600594721596472,background,2026,"{""type"":""Point"",""coordinates"":[92.77226635288949,23.775721502892026]}"
2125,24117.299219877932,1000,0,0.001949098989709852,background,2026,"{""type"":""Point"",""coordinates"":[88.17192882841641,27.521687237166745]}"
2539,24369.067668190222,1000,0,0.0019523338717006844,background,2026,"{""type"":""Point"",""coordinates"":[91.56090069900733,22.9516336266088]}"
172,23357.75304892846,1000,0,0.0024113579252363904,background,2026,"{""type"":""Point"",""coordinates"":[92.83183333065165,27.099186020135466]}"
1520,13711.788644799632,1000,0,0.0025899352265033038,background,2026,"{""type"":""Point"",""coordinates"":[93.77448235517792,27.715117151611246]}"
1931,14825.715694408518,1000,0,0.0028410941969108094,background,2026,"{""type"":""Point"",""coordinates"":[91.92981606423115,25.100848804474836]}"
1999,16004.239396524843,1000,0,0.0029303449645102786,background,2026,"{""type"":""Point"",""coordinates"":[95.79477345011298,28.376890747210265]}"
348,17735.585721031024,1000,0,0.0030757151691677143,background,2026,"{""type"":""Point"",""coordinates"":[92.82474505885736,23.89872979175495]}"
404,18806.212298737883,1000,0,0.004413056929299053,background,2026,"{""type"":""Point"",""coordinates"":[94.52253318695234,27.79377468605191]}"
2921,4535.537375316395,1000,0,0.005295720436165996,background,2026,"{""type"":""Point"",""coordinates"":[94.96077600995712,25.669117857265412]}"
2591,12708.67626575328,1000,0,0.005494201251084241,background,2026,"{""type"":""Point"",""coordinates"":[94.09999952953291,25.275015292101006]}"
820,10427.405249780602,1000,0,0.006771246975044498,background,2026,"{""type"":""Point"",""coordinates"":[88.52422398193004,27.730032833865216]}"
1893,17890.898793751967,1000,0,0.006931599904155372,background,2026,"{""type"":""Point"",""coordinates"":[94.02376624601547,25.475689547669027]}"
1488,11962.219744479064,1000,0,0.007029903183138342,background,2026,"{""type"":""Point"",""coordinates"":[92.67438905072252,26.93557641526493]}"
2652,1672.281116885189,1000,0,0.007064984070873859,background,2026,"{""type"":""Point"",""coordinates"":[94.76488246913063,28.81064975105835]}"
2904,3723.0880498650154,1000,0,0.007173333197901033,background,2026,"{""type"":""Point"",""coordinates"":[94.8462937880418,28.21881013863682]}"
270,24506.98252144947,1000,0,0.007325125796121212,background,2026,"{""type"":""Point"",""coordinates"":[91.59277699549804,25.101980453627416]}"
2020,15637.515262663632,1000,0,0.007951143542074823,background,2026,"{""type"":""Point"",""coordinates"":[94.28209046053857,28.306580825725213]}"
1560,17389.179721114357,1000,0,0.008347101427534809,background,2026,"{""type"":""Point"",""coordinates"":[94.66064216578148,28.679241729912757]}"
722,8361.646098431253,1000,0,0.00835762946342733,background,2026,"{""type"":""Point"",""coordinates"":[94.71510790322345,25.92897464522301]}"
622,17264.01390784552,1000,0,0.008843927614867186,background,2026,"{""type"":""Point"",""coordinates"":[95.63028539268794,28.14821437475521]}"
1747,2921.568197023323,1000,0,0.009302745435267212,background,2026,"{""type"":""Point"",""coordinates"":[92.98129024174324,25.201651998015265]}"
2177,18393.242505383176,1000,0,0.009422487572293692,background,2026,"{""type"":""Point"",""coordinates"":[91.63600169604956,25.141113328238976]}"
1732,15164.19630016112,1000,0,0.009444933816328271,background,2026,"{""type"":""Point"",""coordinates"":[92.6735451165003,24.794176057468608]}"
2671,21404.01717882386,1000,0,0.010393995236634979,background,2026,"{""type"":""Point"",""coordinates"":[92.92011849429544,27.499840889977897]}"
2791,21598.266297354545,1000,0,0.011433074943418164,background,2026,"{""type"":""Point"",""coordinates"":[95.97087509877774,28.140274265634837]}"
2240,24328.02765674933,1000,0,0.011680944939312266,background,2026,"{""type"":""Point"",""coordinates"":[90.86082758737312,25.420725143411836]}"
2603,10027.1592719494,1000,0,0.011815541913409167,background,2026,"{""type"":""Point"",""coordinates"":[92.33421332056709,23.82028129511027]}"
2318,15799.690633047681,1000,0,0.012456643453805705,background,2026,"{""type"":""Point"",""coordinates"":[93.18099294007999,25.309890097603134]}"
2130,7040.3564995697625,1000,0,0.01324278617129293,background,2026,"{""type"":""Point"",""coordinates"":[93.54215405022319,27.043986481973864]}"
1426,11005.631260475182,1000,0,0.013559153820705383,background,2026,"{""type"":""Point"",""coordinates"":[92.78844142918958,27.40632933557008]}"
2557,19592.095860814927,1000,0,0.013723091967551726,background,2026,"{""type"":""Point"",""coordinates"":[88.63956090331548,26.994641199061114]}"
2935,16037.853816092094,1000,0,0.013770513629474457,background,2026,"{""type"":""Point"",""coordinates"":[93.5790396361014,27.96222053220109]}"
2230,19549.029459992307,1000,0,0.014017577497009936,background,2026,"{""type"":""Point"",""coordinates"":[94.01014841258502,24.209041291851364]}"
881,11618.20217822497,1000,0,0.0141148128923958,background,2026,"{""type"":""Point"",""coordinates"":[93.14095937494217,24.646089873680218]}"
2700,8230.886779105402,1000,0,0.014439142382083436,background,2026,"{""type"":""Point"",""coordinates"":[92.81573203089945,22.730724991862548]}"
1802,20556.238223474287,1000,0,0.014546451850033781,background,2026,"{""type"":""Point"",""coordinates"":[93.28993575256465,25.08244182360667]}"
528,14222.779597180837,1000,0,0.014695395149992851,background,2026,"{""type"":""Point"",""coordinates"":[93.70324502296435,25.28956333041112]}"
