system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,hls_valid_image_count,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
000000000000000000c1,0.16322515039684551,0.0804757241797685,0.021118886810575808,0.05012572165209039,0.03766087154340022,0.07517000657196302,0.21084116070977202,0.2718442394216673,0.26445570496941506,0.29476173095394576,0.5332689231633766,0.23633402031669898,0.7509171317448707,-0.6810464279372298,30.937125746476735,0,PART2,West Garo Hills,397.7198181152344,2024-06-15,167.0,6.0,,1.0,0,,2024-06-02,12.807650462962963,380,1,24,Rongkon Landslide,1,Near Rongkon Poultry Farm,125.69000244140625,LS-0194,,0,Newspapers & Media/2024/Meghalaya/203,74,8.793879971865524,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.23077042298067,25.54553890643763]}"
000000000000000000dd,0.3796620252522691,0.27497254703108365,0.4705810050200293,0.468803929821003,0.4424807514831903,0.434775604685361,0.4868106485472337,0.5142693778205975,0.48562619542619523,0.5192346382029308,0.27809413156471524,0.12285457312853117,0.04733801246006145,-0.018235930314130167,225.61704618208967,0,PART2,East Khasi Hills,1761.984130859375,2024-06-19,171.0,6.0,,2.0,0,,2024-06-04,14.814456018518518,359,1,7,Pomlum Landslide,1,Pomlum village in Laitlyngkot,349.0,LS-0222,,0,Newspapers & Media/2024/Meghalaya/64,24,16.862459284893784,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.82858226705771,25.51894928685594]}"
000000000000000000e1,0.3429071490094746,0.26455780007093277,0.25264029487764095,0.27673872929016563,0.2741643005522621,0.29345312864163736,0.3681021077164714,0.3891667021330494,0.375723843542585,0.3979791862998428,0.18030261666184008,0.04827974192831502,0.17346499052187062,-0.17038650861991908,68.98434066365888,0,PART2,East Khasi Hills,1739.510009765625,2024-06-28,180.0,6.0,,1.0,0,,2024-06-24,3.8144560185185186,362,1,6,Sohiong Landslide,1,Mawmaram Road,43.61000061035156,LS-0226,,0,Newspapers & Media/2024/Meghalaya/81,26,13.87607452676314,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.70037419356905,25.510164857780648]}"
00000000000000000115,0.4311892925914664,0.3079648930779365,0.7251100182426268,0.725940245261984,0.6984980642545858,0.6970968987534201,0.7359839262187087,0.7501706293706291,0.7166315090706394,0.747133343468126,0.398789087889774,0.24861841566340764,0.012842450699153723,0.0063999605040363245,312.81981410044847,0,PART2,Ri Bhoi,693.5777587890625,2024-07-06,188.0,7.0,,3.0,0,,2024-07-04,1.8144560185185186,361,1,6,Umran Landslide,1,"GS Road, Umran Villahge, Ri Bhoi",28.959999084472656,LS-0278,,0,Newspapers & Media/2024/Meghalaya/130,48,24.150330282326173,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87471612655666,25.781193478910144]}"
0000000000000000011d,0.20014809671042624,0.08989801307719603,0.029084160373054887,0.06078994373764514,0.038354087890922,0.08268761721323938,0.2660273049825129,0.35703649956916217,0.3408631658979167,0.3828565816817882,0.5751627784957842,0.25573923609051835,0.7869982387548164,-0.6883782623449107,256.58628759825973,0,PART2,Ri Bhoi,592.1676025390625,2024-07-14,196.0,7.0,,3.0,0,,2024-07-09,4.814479166666667,364,1,6,Pahamrinai Landslide,1,"GS Road, PahamrinaiVillahge, Ri Bhoi",0.8989999890327454,LS-0286,,0,Newspapers & Media/2024/Meghalaya/129,47,33.192020951779206,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87530472789572,25.809076237797342]}"
000000000000000000a9,0.5309384108644978,0.35582070538157495,0.6787689824668084,0.6871923685010642,0.6600910408432146,0.6687688000405393,0.7113102310732745,0.7370598662207358,0.7101241208067298,0.7405385527515963,0.33241400468184784,0.14442571951706448,0.03673229581574653,-0.01664352369577422,103.75303912102856,0,PART2,Ri Bhoi,570.809814453125,2024-06-14,166.0,6.0,,2.0,0,,2024-06-04,9.814456018518518,366,1,8,Ri Palei Landslide,1,Ri Bhoi region,107.0,LS-0170,NH 6,1,Newspapers & Media/2024/Meghalaya/57,19,8.501349014637618,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87428805285553,25.827808921322866]}"
000000000000000000aa,0.4871862553234639,0.3432025400527276,0.582069250659096,0.5862663911985402,0.5594237578584467,0.5655630348813628,0.6161852970999802,0.6451758010545533,0.6191604644088422,0.6506330916649772,0.2870105402216021,0.11938008758967997,0.05100183038651498,-0.02754270977902711,282.1817194695362,0,PART2,Ri Bhoi,606.1914672851562,2024-06-14,166.0,6.0,,2.0,0,,2024-06-04,9.814456018518518,366,1,8,Umsamlem Landslide,1,Ri Bhoi region,107.0,LS-0171,NH 6,1,Newspapers & Media/2024/Meghalaya/58,20,24.12518058851778,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87518879126833,25.800586109391578]}"
000000000000000000ab,0.5585133563032019,0.433053947101743,0.6062986623429266,0.6150107620591811,0.5938956576813944,0.5795808066477501,0.6232212049047428,0.655406814957438,0.6095819314957436,0.6651890808674503,0.16930913430607344,0.04372154734176166,0.013071156330867315,0.004402547292805309,209.76087803314317,0,PART2,Ri Bhoi,967.6685791015624,2024-06-14,166.0,6.0,,2.0,0,,2024-06-04,9.814456018518518,366,1,8,Umiam Landslide,1,Ri Bhoi region,234.0,LS-0172,NH 6,1,Newspapers & Media/2024/Meghalaya/59,21,31.31557830685353,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.89985207919493,25.679204919615728]}"
000000000000000000b1,0.1918066922960191,0.09764456978097025,0.022017476857706525,0.05036602256057464,0.03864771612119984,0.0790496787900248,0.22247645303252572,0.2721604178258892,0.2672801557994841,0.29921807881025847,0.46380221115022446,0.16323254135526546,0.7459504043471222,-0.6811866997145721,133.92405099217933,0,PART2,West Garo Hills,422.2034606933594,2024-06-15,167.0,6.0,,1.0,0,,2024-05-25,20.81457175925926,370,1,14,Rongram Landslide,1,Near Rongram Nepali Baptist Church,125.69000244140625,LS-0178,NH 217,1,Newspapers & Media/2024/Meghalaya/187,58,12.03727384356741,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.25729315604656,25.59974373884332]}"
000000000000000000b2,0.20135730825623127,0.09415429495930026,0.02223593204914303,0.05308697608574747,0.036594337428585845,0.08623423327771876,0.26459640527832534,0.3317132261489459,0.3265332726629253,0.365709914555842,0.5526578864806714,0.2371929555017402,0.7981507668925538,-0.7199246817932742,64.64004677250267,0,PART2,East Garo Hills,465.4007568359375,2024-06-15,167.0,6.0,,1.0,0,,2024-05-25,20.81457175925926,370,1,14,Mangrure Landslide 1,1,Tura Williamnagar Road,125.69000244140625,LS-0179,SH 1,1,Newspapers & Media/2024/Meghalaya/188,59,27.411835186632597,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.42024654494368,25.556717872778624]}"
