system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,NBR,NDMI,NDVI,NDWI,aspect,casualty,dem_source,district,elevation,event_date,event_day_of_year,event_month,event_time_raw,event_type,has_casualty,hls_cloud_cover,hls_date,hls_days_before_event,hls_image_count,hls_valid,landslide_name,landslide_target,location,rainfall_24h_mm,record_id,road_affected,road_affected_flag,slide_id,slide_no,slope,source,source_code,state,state_code,year,.geo
000000000000000000c1,,,,,,,,,,,,,,,30.937125746476735,0,PART2,West Garo Hills,397.7198181152344,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Rongkon Landslide,1,Near Rongkon Poultry Farm,125.69000244140625,LS-0194,,0,Newspapers & Media/2024/Meghalaya/203,74,8.793879971865524,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.23077042298067,25.54553890643763]}"
000000000000000000dd,,,,,,,,,,,,,,,225.61704618208967,0,PART2,East Khasi Hills,1761.984130859375,2024-06-19,171.0,6.0,,2.0,0,80.0,2024-06-18,0.023159722222222224,10,true,Pomlum Landslide,1,Pomlum village in Laitlyngkot,349.0,LS-0222,,0,Newspapers & Media/2024/Meghalaya/64,24,16.862459284893784,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.82858226705771,25.51894928685594]}"
000000000000000000e1,,,,,,,,,,,,,,,68.98434066365888,0,PART2,East Khasi Hills,1739.510009765625,2024-06-28,180.0,6.0,,1.0,0,69.0,2024-06-27,0.0025578703703703705,10,true,Sohiong Landslide,1,Mawmaram Road,43.61000061035156,LS-0226,,0,Newspapers & Media/2024/Meghalaya/81,26,13.87607452676314,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.70037419356905,25.510164857780648]}"
00000000000000000115,,,,,,,,,,,,,,,312.81981410044847,0,PART2,Ri Bhoi,693.5777587890625,2024-07-06,188.0,7.0,,3.0,0,0.0,2024-07-04,1.0093865740740742,10,true,Umran Landslide,1,"GS Road, Umran Villahge, Ri Bhoi",28.959999084472656,LS-0278,,0,Newspapers & Media/2024/Meghalaya/130,48,24.150330282326173,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87471612655666,25.781193478910144]}"
0000000000000000011d,,,,,,,,,,,,,,,256.58628759825973,0,PART2,Ri Bhoi,592.1676025390625,2024-07-14,196.0,7.0,,3.0,0,79.0,2024-07-12,1.0025347222222223,10,true,Pahamrinai Landslide,1,"GS Road, PahamrinaiVillahge, Ri Bhoi",0.8989999890327454,LS-0286,,0,Newspapers & Media/2024/Meghalaya/129,47,33.192020951779206,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87530472789572,25.809076237797342]}"
000000000000000000a9,,,,,,,,,,,,,,,103.75303912102856,0,PART2,Ri Bhoi,570.809814453125,2024-06-14,166.0,6.0,,2.0,0,41.0,2024-06-12,1.0025347222222223,10,true,Ri Palei Landslide,1,Ri Bhoi region,107.0,LS-0170,NH 6,1,Newspapers & Media/2024/Meghalaya/57,19,8.501349014637618,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87428805285553,25.827808921322866]}"
000000000000000000aa,,,,,,,,,,,,,,,282.1817194695362,0,PART2,Ri Bhoi,606.1914672851562,2024-06-14,166.0,6.0,,2.0,0,41.0,2024-06-12,1.0025347222222223,10,true,Umsamlem Landslide,1,Ri Bhoi region,107.0,LS-0171,NH 6,1,Newspapers & Media/2024/Meghalaya/58,20,24.12518058851778,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.87518879126833,25.800586109391578]}"
000000000000000000ab,,,,,,,,,,,,,,,209.76087803314317,0,PART2,Ri Bhoi,967.6685791015624,2024-06-14,166.0,6.0,,2.0,0,41.0,2024-06-12,1.0025347222222223,10,true,Umiam Landslide,1,Ri Bhoi region,234.0,LS-0172,NH 6,1,Newspapers & Media/2024/Meghalaya/59,21,31.31557830685353,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[91.89985207919493,25.679204919615728]}"
000000000000000000b1,,,,,,,,,,,,,,,133.92405099217933,0,PART2,West Garo Hills,422.2034606933594,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Rongram Landslide,1,Near Rongram Nepali Baptist Church,125.69000244140625,LS-0178,NH 217,1,Newspapers & Media/2024/Meghalaya/187,58,12.03727384356741,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.25729315604656,25.59974373884332]}"
000000000000000000b2,,,,,,,,,,,,,,,64.64004677250267,0,PART2,East Garo Hills,465.4007568359375,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Mangrure Landslide 1,1,Tura Williamnagar Road,125.69000244140625,LS-0179,SH 1,1,Newspapers & Media/2024/Meghalaya/188,59,27.411835186632597,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.42024654494368,25.556717872778624]}"
000000000000000000b3,,,,,,,,,,,,,,,60.21851201023378,0,PART2,East Garo Hills,476.2195739746094,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Mangrure Landslide 2,1,Tura Williamnagar Road,125.69000244140625,LS-0180,SH 1,1,Newspapers & Media/2024/Meghalaya/189,60,27.59077955988232,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.42012169011419,25.55650383592806]}"
000000000000000000b4,,,,,,,,,,,,,,,60.21848850998339,0,PART2,East Garo Hills,476.2195739746094,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Mangrure Landslide 3,1,Tura Williamnagar Road,125.69000244140625,LS-0181,SH 1,1,Newspapers & Media/2024/Meghalaya/190,61,27.590762703621216,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.42005034449733,25.55638789930067]}"
000000000000000000b5,,,,,,,,,,,,,,,359.7993900020092,0,PART2,East Garo Hills,471.3088684082031,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Simsang Landslide 1,1,Tura Williamnagar Road,125.69000244140625,LS-0182,SH 1,1,Newspapers & Media/2024/Meghalaya/191,62,25.70820314164706,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.41259472753599,25.54998908928897]}"
000000000000000000b6,,,,,,,,,,,,,,,4.070201228277313,0,PART2,East Garo Hills,472.2780456542969,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Simsang Landslide 2,1,Tura Williamnagar Road,125.69000244140625,LS-0183,SH 1,1,Newspapers & Media/2024/Meghalaya/192,63,28.270287136272216,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.41268390955705,25.550020302996348]}"
000000000000000000b7,,,,,,,,,,,,,,,13.031616087986947,0,PART2,East Garo Hills,463.8292846679688,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Simsang Landslide 3,1,Tura Williamnagar Road,125.69000244140625,LS-0184,SH 1,1,Newspapers & Media/2024/Meghalaya/193,64,28.395175863225987,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.40864396400264,25.549017005259326]}"
000000000000000000b8,,,,,,,,,,,,,,,293.9760842898777,0,PART2,East Garo Hills,494.89947509765625,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Durakalakgre Landslide,1,Tura Williamnagar Road,125.69000244140625,LS-0185,SH 1,1,Newspapers & Media/2024/Meghalaya/194,65,19.9359177207302,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.38567959357736,25.547884393591747]}"
000000000000000000b9,,,,,,,,,,,,,,,307.1229804840693,0,PART2,West Garo Hills,520.6331787109375,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Matchurigre Landslide 1,1,Tura Williamnagar Road,125.69000244140625,LS-0186,SH 1,1,Newspapers & Media/2024/Meghalaya/195,66,21.47122807721512,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.35146045209324,25.561542620118455]}"
000000000000000000ba,,,,,,,,,,,,,,,290.0070520640517,0,PART2,West Garo Hills,522.86181640625,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Matchurigre Landslide 2,1,Tura Williamnagar Road,125.69000244140625,LS-0187,SH 1,1,Newspapers & Media/2024/Meghalaya/196,67,26.760116969684507,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.35138018827426,25.561885970899567]}"
000000000000000000bb,,,,,,,,,,,,,,,290.0070525253569,0,PART2,West Garo Hills,522.86181640625,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Matchurigre Landslide 3,1,Tura Williamnagar Road,125.69000244140625,LS-0188,SH 1,1,Newspapers & Media/2024/Meghalaya/197,68,26.760116460332075,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.35138018827426,25.561885970899567]}"
000000000000000000bc,,,,,,,,,,,,,,,12.066611665766745,0,PART2,West Garo Hills,532.6704711914062,2024-06-15,167.0,6.0,,1.0,0,53.0,2024-06-14,0.009386574074074073,10,true,Matchurigre Landslide 4,1,Tura Williamnagar Road,125.69000244140625,LS-0189,SH 1,1,Newspapers & Media/2024/Meghalaya/198,69,26.19616902861012,Field Survey,2,Meghalaya,3,2024,"{""type"":""Point"",""coordinates"":[90.34938251100232,25.561703147756376]}"
